day,platform,audience,hook,caption,landing_url
1,TikTok,newborn_parents,"If you have ever asked, wait, when did the baby last feed, this is for you.","Tired-parent memory is not a reliable database. OBubba keeps feeds, nappies, sleep and notes together.",https://obubba.com/newborn-feeding-and-nappy-log.html?utm_source=tiktok&utm_medium=organic_social&utm_campaign=day1_newborn
2,Instagram Reels,shared_care_families,"The baby app I wish I had before I sent my partner 12 handover texts.","Baby care should not live in one parent's head. OBubba helps share the day.",https://obubba.com/partner-baby-tracker-app.html?utm_source=instagram&utm_medium=organic_social&utm_campaign=day2_partner
3,TikTok,sleep_deprived_parents,"This is not a sleep training app. It is a stop-guessing app.","Naps, feeds, night wakes and bedtime rhythm in one calmer place.",https://obubba.com/baby-wake-window-tracker.html?utm_source=tiktok&utm_medium=organic_social&utm_campaign=day3_sleep
4,Instagram Reels,grandparents_and_carers,"Grandma is babysitting tonight. Here is how I share the whole baby day.","Feeds, naps, nappies and notes without a giant handover text.",https://obubba.com/baby-tracker-for-grandparents.html?utm_source=instagram&utm_medium=organic_social&utm_campaign=day4_grandparents
5,TikTok,mixed_feeding_parents,"Breast, bottle, pumping, top-ups, sleep, nappies. Mixed feeding is a lot to remember.","OBubba keeps feeding context beside the rest of the baby day.",https://obubba.com/baby-feed-tracker.html?utm_source=tiktok&utm_medium=organic_social&utm_campaign=day5_feeding
6,Instagram Reels,uk_parents,"The UK baby tracker app for nappies, feeds, sleep and calmer handovers.","Built for tired parents who want rhythm, not rigid rules.",https://obubba.com/baby-tracker-app-uk.html?utm_source=instagram&utm_medium=organic_social&utm_campaign=day6_uk
7,TikTok,reflux_colic_parents,"When the day is a blur, a simple diary helps you explain what happened.","Feeds, settling, sleep, nappies and notes for calmer care conversations.",https://obubba.com/colic-reflux-baby-support.html?utm_source=tiktok&utm_medium=organic_social&utm_campaign=day7_reflux
8,Instagram Reels,newborn_parents,"Newborn parents: your brain is not broken. You are just tracking too much.","One soft place for the tiny details.",https://obubba.com/baby-daily-log-app.html?utm_source=instagram&utm_medium=organic_social&utm_campaign=day8_daily_log
9,TikTok,nursery_parents,"Nursery handover without five texts and a voice note.","OBubba turns the baby day into clearer context for trusted carers.",https://obubba.com/nursery-baby-handover-app.html?utm_source=tiktok&utm_medium=organic_social&utm_campaign=day9_nursery
10,Instagram Reels,milestone_memory_parents,"The everyday care timeline becomes the memory book.","Track the day, save the moments, share the care.",https://obubba.com/baby-memory-book.html?utm_source=instagram&utm_medium=organic_social&utm_campaign=day10_memory
11,TikTok,sleep_deprived_parents,"I do not need another perfect routine. I need to understand our actual baby.","OBubba helps you read the rhythm without chasing perfection.",https://obubba.com/baby-routine-app-uk.html?utm_source=tiktok&utm_medium=organic_social&utm_campaign=day11_routine
12,Instagram Reels,newborn_parents,"When the health visitor asks how the week has been, I no longer guess.","Reports and summaries from the care you already logged.",https://obubba.com/baby-tracker-with-reports.html?utm_source=instagram&utm_medium=organic_social&utm_campaign=day12_reports
13,TikTok,free_app_searchers,"The baby tracker you can start for free when your notes are everywhere.","Feeds, sleep, naps, nappies and notes in one calmer place.",https://obubba.com/free-baby-tracker-app.html?utm_source=tiktok&utm_medium=organic_social&utm_campaign=day13_free
14,Instagram Reels,all_parents,"The most useful baby tracker is the one you can use at 3am.","OBubba is built for tired parents, not perfect charts.",https://obubba.com/?utm_source=instagram&utm_medium=organic_social&utm_campaign=day14_home
