priority,lane,target,contact,source_url,status,sent_before,next_step,message_angle,notes
P0,Creative,Drew Kirk Productions,mail@drewkirkproductions.com,personal contact,sent,yes,Wait for reply and agree first content batch,"Feature brief for video/content production, not campaign management","Sent 2026-05-15 with screenshot contact sheet attached. Drew helps generate videos/content; Zyesha and Codex handle campaign setup and testing."
P0,Community,Wirral Family Hubs Parent Carer Panel,familyhubs@wirral.gov.uk,https://familytoolbox.co.uk/resource-list/family-hubs-parent-carer-panel/,draft_created,no,Ask to join panel and offer OBubba for feedback,"Local Wirral mum built a free-core baby tracker; ask for parent feedback and signposting fit","Good fit because panel exists to shape family services; avoid asking them to endorse the app."
P0,Community,Wirral Maternity Neonatal Voices Partnership,wirral_maternity_voices@outlook.com,https://www.wuth.nhs.uk/maternity-services/wirral-maternity-neonatal-voices-partnership/,draft_created,no,Ask for feedback route or parent engagement contact,"Founder story plus parent voice angle; OBubba can help parents keep clearer notes for care conversations","Strong story fit; avoid NHS approval language."
P0,Community,WCHC 0-19 and Infant Feeding Contact Hub,wchc.wirralhub@nhs.net,https://www.wchc.nhs.uk/children-young-people/help/contacts/,draft_created,no,Ask whether there is a parent feedback or digital resource review route,"Breastfeeding and baby-care logs in one place; not medical advice","Be extra cautious with claims. Ask for guidance rather than promotion."
P0,Community,The Positivitree,admin@thepositivitree.com,https://www.cancercaremap.org/the-positivitree-parent-carer-support/,draft_created,no,Ask if OBubba could be reviewed for parent/carer support signposting,"Parent mental load and support for carers; free core tracking","Good for family support and additional needs carer network, but baby age fit may vary."
P0,Community,Koala North West,admin@koalanw.co.uk,https://koalanw.co.uk/contact,already_contacted,yes,Wait for reply then follow up if no response,"Wirral family support charity; breastfeeding support; local mum founder","Do not duplicate the sent email."
P0,Community,NCT North Liverpool,northliverpool@nct.org.uk,https://www.nct.org.uk/about-us/contact-us,already_contacted,yes,Wait for reply then follow up if no response,"Free-core newborn tracker and breastfeeding support for parents","Do not duplicate the sent email."
P1,Community,NCT national enquiries,enquiries@nct.org.uk,https://www.nct.org.uk/about-us/contact-us,later,no,Use contact form if local NCT does not respond,"Ask for the right local/community contact rather than promotion","National inbox may be slow; keep local first."
P1,Community,La Leche League GB,contact form,https://laleche.org.uk/contact/,later,no,Ask for resource-review guidance not promotion,"Breastfeeding tracker supports parent record keeping, not clinical advice","Use respectful language and avoid suggesting OBubba gives breastfeeding advice."
P0,Business support,Wirral Chamber of Commerce,info@wirralchamber.co.uk,https://wirralchamber.co.uk/about/,already_contacted,yes,Wait for reply then follow up,"Wirral mum founder needs local business support and introductions","Do not duplicate the sent email."
P0,Business support,Growth Platform Local Growth Hub,localgrowthhub@liverpoolcityregion-ca.gov.uk,https://growthplatform.org/,already_contacted,yes,Wait for reply then follow up,"Liverpool City Region support, funding and programmes","Do not duplicate the sent email."
P0,Business support,LYVA Labs Innovation Consultancy,consultancy@lyvalabs.com,https://wirralchamber.co.uk/support/lyva-labs-consultancy/,sent,yes,Wait for reply then follow up in 5-7 days,"Consumer parenting tech with parent-support impact, live app, early traction","Sent 2026-05-15. Use consultancy first. Investment fund fit is uncertain because some consumer health is excluded."
P1,Business support,LYVA Labs general innovation,enquiries@lyvalabs.com,https://lyvalabs.com/contact,later,no,Use if consultancy email bounces or no reply,"Ask for correct programme and eligibility route","Do not send both at once."
